Age,DistToWork,DualInc,Education,Gender,Income,Language,NbrInHouseHold,NbrInHouseholdUnder18,OwnRent,YrsInArea,Rider
7,14,N,3,F,3,English,1,0,Rent,5,Yes
7,10,N,5,M,8,English,2,0,Own,5,No
3,9,N,3,M,1,English,1,0,Rent,5,Yes
1,13,N,2,M,1,English,5,3,Parent,5,Yes
3,14,N,5,F,2,English,3,1,Parent,5,Yes
1,12,N,2,M,1,English,5,0,Parent,5,Yes
2,10,N,4,M,3,English,4,2,Rent,2,Yes
3,13,N,5,M,6,English,1,0,Own,5,No
7,9,Y,3,M,4,English,2,0,Own,4,No
2,10,N,4,F,8,English,2,0,Parent,5,Yes
2,12,N,4,F,2,English,3,0,Parent,5,Yes
2,13,N,3,M,1,English,4,1,Parent,5,Yes
3,12,N,4,F,4,English,4,1,Rent,2,Yes
1,11,N,2,F,1,Other,9,7,Parent,4,Yes
2,13,N,3,M,3,English,1,0,Rent,5,Yes
2,11,N,4,M,2,English,6,0,Parent,5,Yes
4,11,N,3,F,3,English,1,0,Rent,4,No
7,11,N,5,M,8,English,2,0,Own,5,No
6,13,Y,1,F,2,Spanish,4,1,Rent,3,Yes
1,10,N,2,M,8,English,3,1,Parent,5,No
2,13,Y,3,M,6,English,2,0,Own,5,No
6,9,Y,6,M,8,English,9,2,Own,4,No
3,11,N,6,F,4,English,2,0,Parent,4,Yes
3,13,Y,4,F,8,Other,2,0,Own,5,Yes
1,12,N,2,F,1,English,8,6,Parent,5,Yes
1,13,N,2,F,1,English,4,1,Parent,4,Yes
4,9,N,6,F,7,English,2,0,Own,3,Yes
1,14,N,2,M,9,English,4,2,Parent,5,Yes
2,8,N,3,M,6,English,3,0,Parent,5,No
2,12,N,4,F,5,English,2,0,Own,5,Yes
2,8,N,2,F,8,English,4,1,Parent,5,Yes
7,10,N,4,F,4,English,2,0,Own,5,No
5,11,N,5,F,9,English,2,0,Own,3,No
2,15,N,2,M,7,Spanish,5,2,Parent,5,Yes
6,8,N,4,F,1,English,1,0,Own,5,Yes
5,14,N,3,F,8,English,5,1,Own,5,No
3,10,N,5,F,4,English,2,0,Rent,3,No
